tweet_id,timestamp,source,text,rating,rating_denominator,name,dog_stage,retweet_count,like_count,jpg_url,dog_breed,percentage_conf
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",13,10,Tilly,,5302,29351,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,32.3581
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12,10,Archie,,3483,22070,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,71.60119999999999
891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13,10,Darla,,7229,36962,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador Retriever,16.80859999999999
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12,10,Franklin,,7768,35337,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,55.5712
891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,13,10,None,,2602,17823,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake Bay Retriever,42.5595
890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below
",13,10,Jax,,1667,10372,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,34.1703
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,13,10,None,,15767,56904,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,56.614200000000004
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,13,10,Zoey,,3625,24546,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish Terrier,48.75739999999999
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14,10,Cassie,doggo,6103,27980,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,51.131899999999995
890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13,10,Koda,,6155,27060,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,95.7979
889880896479866881,2017-07-25 16:11:53,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,13,10,Bruno,,4168,24582,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French Bulldog,37.7417
889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,13,10,None,puppo,8354,42085,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,96.6327
889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,12,10,Ted,,3719,23699,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French Bulldog,99.165
889531135344209921,2017-07-24 17:02:04,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,13,10,Stuart,puppo,1884,13356,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Golden Retriever,95.3442
